ds,y_true_rnn,y_pred_rnn
2019-12-07,37.67962,40.665688
2019-12-08,39.091118,38.977905
2019-12-09,41.684986,37.289215
2019-12-10,39.855824,37.74048
2019-12-11,35.73328,42.907608
2019-12-12,33.57795,41.10112
2019-12-13,33.930233,37.101315
2019-12-14,34.255413,34.26526
2019-12-15,34.181477,34.56121
2019-12-16,33.244812,35.182156
2019-12-17,34.676434,35.218307
2019-12-18,35.13737,34.161636
2019-12-19,34.663704,34.73979
2019-12-20,33.11497,34.40509
2019-12-21,33.556805,33.42256
2019-12-22,33.355366,32.343
2019-12-23,32.888676,30.847069
2019-12-24,34.82175,32.683147
2019-12-25,34.025436,30.758427
2019-12-26,35.873074,33.88537
2019-12-27,37.388245,35.98539
2019-12-28,37.430077,36.81698
2019-12-29,36.516617,38.77986
2019-12-30,37.760914,39.114853
2019-12-31,38.992065,38.422935
2020-01-01,39.251156,39.068054
2020-01-02,38.311485,40.403618
2020-01-03,38.130276,39.46759
2020-01-04,38.72076,39.75355
2020-01-05,40.468163,39.05785
2020-01-06,42.0156,40.162094
2020-01-07,41.723377,40.247837
2020-01-08,39.332577,41.7592
2020-01-09,40.665573,42.623573
2020-01-10,41.39529,40.745472
2020-01-11,40.543835,39.461952
2020-01-12,41.16904,41.160526
2020-01-13,41.57239,40.948036
2020-01-14,43.986965,40.130253
2020-01-15,43.043507,42.28984
2020-01-16,42.761906,43.64952
2020-01-17,44.194965,43.92143
2020-01-18,44.965202,41.591545
2020-01-19,41.587357,46.63591
2020-01-20,43.554806,45.075577
2020-01-21,43.614212,41.848545
2020-01-22,41.710598,40.334007
2020-01-23,40.310158,43.92273
2020-01-24,38.122566,41.628693
2020-01-25,36.360607,39.043648
2020-01-26,35.319656,38.273697
2020-01-27,37.706486,37.06849
2020-01-28,40.148853,35.972504
2020-01-29,38.824574,36.17364
2020-01-30,37.047207,40.38418
2020-01-31,35.979244,39.958
2020-02-01,37.391937,38.458115
2020-02-02,36.8822,33.09915
2020-02-03,33.858273,36.58808
2020-02-04,40.214977,38.407482
2020-02-05,46.807285,31.088032
2020-02-06,50.56999,37.64212
2020-02-07,50.27596,46.120544
2020-02-08,46.313747,51.346737
2020-02-09,44.26285,52.487724
2020-02-10,43.34804,47.178493
2020-02-11,41.123867,43.4794
2020-02-12,41.270657,41.888245
2020-02-13,41.25214,40.918926
2020-02-14,40.34061,42.760025
2020-02-15,38.116463,42.376522
2020-02-16,36.419044,42.37509
2020-02-17,37.579823,38.7935
2020-02-18,37.405598,36.41043
2020-02-19,37.976364,38.921097
2020-02-20,38.454865,37.833458
2020-02-21,39.15286,37.373505
2020-02-22,39.06808,37.055862
2020-02-23,34.86648,36.09478
2020-02-24,30.067616,35.728546
2020-02-25,34.034565,35.223167
2020-02-26,35.971165,30.111523
2020-02-27,36.94149,33.89415
2020-02-28,33.784897,36.15489
2020-02-29,30.000322,36.13336
2020-03-01,25.374094,35.951332
2020-03-02,24.09983,30.43644
2020-03-03,24.26967,27.533033
2020-03-04,22.654732,25.338615
2020-03-05,20.749348,24.704243
2020-03-06,20.099497,24.186756
2020-03-07,18.893875,23.369377
2020-03-08,20.976265,21.55987
2020-03-09,23.663282,19.747015
2020-03-10,22.184748,20.880075
2020-03-11,25.493431,24.070724
2020-03-12,32.724674,23.803894
2020-03-13,36.541283,23.751795
2020-03-14,37.9196,28.254128
2020-03-15,38.73008,35.625484
2020-03-16,37.70039,37.32116
2020-03-17,32.897705,37.039345
2020-03-18,29.846727,36.573845
2020-03-19,27.247858,34.93271
2020-03-20,30.26641,33.734924
2020-03-21,36.935207,31.558773
2020-03-22,33.623714,31.77765
2020-03-23,30.091078,35.53327
2020-03-24,27.265757,31.273556
2020-03-25,23.839777,30.637936
2020-03-26,23.060884,29.766699
2020-03-27,24.62884,27.618114
