ds,y_true_rnn,y_pred_rnn
2019-12-07,41.564533,39.370014
2019-12-08,40.40965,39.545517
2019-12-09,38.92104,38.362953
2019-12-10,37.67962,37.612835
2019-12-11,39.091118,37.44355
2019-12-12,41.684986,41.681717
2019-12-13,39.855824,40.43404
2019-12-14,35.73328,36.718933
2019-12-15,33.57795,33.6644
2019-12-16,33.930233,33.870743
2019-12-17,34.255413,35.188236
2019-12-18,34.181477,35.464783
2019-12-19,33.244812,33.741146
2019-12-20,34.676434,34.431183
2019-12-21,35.13737,33.72426
2019-12-22,34.663704,32.98946
2019-12-23,33.11497,31.604498
2019-12-24,33.556805,30.852558
2019-12-25,33.355366,32.512474
2019-12-26,32.888676,30.781769
2019-12-27,34.82175,33.757797
2019-12-28,34.025436,35.35697
2019-12-29,35.873074,36.489742
2019-12-30,37.388245,38.116924
2019-12-31,37.430077,38.573963
2020-01-01,36.516617,37.927925
2020-01-02,37.760914,38.740093
2020-01-03,38.992065,39.783695
2020-01-04,39.251156,39.65526
2020-01-05,38.311485,39.453064
2020-01-06,38.130276,38.74751
2020-01-07,38.72076,39.89529
2020-01-08,40.468163,40.008656
2020-01-09,42.0156,41.64923
2020-01-10,41.723377,42.520817
2020-01-11,39.332577,40.885643
2020-01-12,40.665573,39.45055
2020-01-13,41.39529,41.059807
2020-01-14,40.543835,41.431763
2020-01-15,41.16904,40.272907
2020-01-16,41.57239,42.36737
2020-01-17,43.986965,43.490227
2020-01-18,43.043507,43.847088
2020-01-19,42.761906,41.482864
2020-01-20,44.194965,46.405457
2020-01-21,44.965202,45.336487
2020-01-22,41.587357,42.325077
2020-01-23,43.554806,40.054165
2020-01-24,43.614212,43.649773
2020-01-25,41.710598,41.315933
2020-01-26,40.310158,39.23532
2020-01-27,38.122566,38.261623
2020-01-28,36.360607,37.7653
2020-01-29,35.319656,35.642876
2020-01-30,37.706486,36.180008
2020-01-31,40.148853,40.474667
2020-02-01,38.824574,39.79449
2020-02-02,37.047207,38.143463
2020-02-03,35.979244,33.617916
2020-02-04,37.391937,36.51302
2020-02-05,36.8822,37.93938
2020-02-06,33.858273,31.982342
2020-02-07,40.214977,37.89847
2020-02-08,46.807285,46.005695
2020-02-09,50.56999,52.616352
2020-02-10,50.27596,52.758545
2020-02-11,46.313747,46.858448
2020-02-12,44.26285,43.30616
2020-02-13,43.34804,40.852654
2020-02-14,41.123867,39.695164
2020-02-15,41.270657,42.28019
2020-02-16,41.25214,41.924313
2020-02-17,40.34061,42.50137
2020-02-18,38.116463,38.721245
2020-02-19,36.419044,36.533173
2020-02-20,37.579823,38.479088
2020-02-21,37.405598,37.111977
2020-02-22,37.976364,36.89704
2020-02-23,38.454865,36.53976
2020-02-24,39.15286,35.661655
2020-02-25,39.06808,35.51208
2020-02-26,34.86648,35.29878
2020-02-27,30.067616,30.998377
2020-02-28,34.034565,33.36784
2020-02-29,35.971165,35.60406
2020-03-01,36.94149,36.09423
2020-03-02,33.784897,35.951218
2020-03-03,30.000322,31.737873
2020-03-04,25.374094,27.606272
2020-03-05,24.09983,26.592844
2020-03-06,24.26967,25.52573
2020-03-07,22.654732,25.126408
2020-03-08,20.749348,24.451572
2020-03-09,20.099497,21.497005
2020-03-10,18.893875,19.429218
2020-03-11,20.976265,22.529053
2020-03-12,23.663282,24.565517
2020-03-13,22.184748,24.665531
2020-03-14,25.493431,24.463755
2020-03-15,32.724674,28.135191
2020-03-16,36.541283,36.940548
2020-03-17,37.9196,38.024746
2020-03-18,38.73008,37.08358
2020-03-19,37.70039,35.93087
2020-03-20,32.897705,34.5535
2020-03-21,29.846727,33.224026
2020-03-22,27.247858,31.60705
2020-03-23,30.26641,31.965767
2020-03-24,36.935207,35.792126
2020-03-25,33.623714,31.065008
2020-03-26,30.091078,30.35331
2020-03-27,27.265757,29.566164
