ds,y_true_rnn,y_pred_rnn
2019-12-07,37.67962,40.153664
2019-12-08,39.091118,39.430145
2019-12-09,41.684986,38.23558
2019-12-10,39.855824,38.073223
2019-12-11,35.73328,42.352837
2019-12-12,33.57795,41.08343
2019-12-13,33.930233,36.8971
2019-12-14,34.255413,34.16044
2019-12-15,34.181477,34.64985
2019-12-16,33.244812,35.693237
2019-12-17,34.676434,35.821823
2019-12-18,35.13737,34.21253
2019-12-19,34.663704,35.05216
2019-12-20,33.11497,34.336796
2019-12-21,33.556805,33.67649
2019-12-22,33.355366,32.37029
2019-12-23,32.888676,30.715942
2019-12-24,34.82175,32.48573
2019-12-25,34.025436,31.481987
2019-12-26,35.873074,34.193752
2019-12-27,37.388245,35.957447
2019-12-28,37.430077,37.385757
2019-12-29,36.516617,38.917313
2019-12-30,37.760914,39.40718
2019-12-31,38.992065,38.73145
2020-01-01,39.251156,39.54389
2020-01-02,38.311485,40.579597
2020-01-03,38.130276,39.69329
2020-01-04,38.72076,39.586365
2020-01-05,40.468163,39.076355
2020-01-06,42.0156,40.172466
2020-01-07,41.723377,40.248627
2020-01-08,39.332577,41.80204
2020-01-09,40.665573,42.684765
2020-01-10,41.39529,40.94344
2020-01-11,40.543835,39.633743
2020-01-12,41.16904,41.49205
2020-01-13,41.57239,41.270737
2020-01-14,43.986965,40.245434
2020-01-15,43.043507,42.72497
2020-01-16,42.761906,43.55441
2020-01-17,44.194965,44.033478
2020-01-18,44.965202,41.679863
2020-01-19,41.587357,46.54369
2020-01-20,43.554806,45.04022
2020-01-21,43.614212,42.488693
2020-01-22,41.710598,40.324688
2020-01-23,40.310158,44.255154
2020-01-24,38.122566,41.79254
2020-01-25,36.360607,39.502205
2020-01-26,35.319656,38.904003
2020-01-27,37.706486,37.92348
2020-01-28,40.148853,35.80505
2020-01-29,38.824574,36.47358
2020-01-30,37.047207,40.618725
2020-01-31,35.979244,40.138313
2020-02-01,37.391937,38.415527
2020-02-02,36.8822,33.761585
2020-02-03,33.858273,36.816586
2020-02-04,40.214977,37.92183
2020-02-05,46.807285,31.54164
2020-02-06,50.56999,38.783337
2020-02-07,50.27596,46.465828
2020-02-08,46.313747,53.407017
2020-02-09,44.26285,53.215675
2020-02-10,43.34804,46.49711
2020-02-11,41.123867,42.727436
2020-02-12,41.270657,41.148037
2020-02-13,41.25214,40.419838
2020-02-14,40.34061,42.992092
2020-02-15,38.116463,42.74867
2020-02-16,36.419044,43.3582
2020-02-17,37.579823,39.050045
2020-02-18,37.405598,36.76847
2020-02-19,37.976364,39.183712
2020-02-20,38.454865,37.63501
2020-02-21,39.15286,37.611782
2020-02-22,39.06808,37.0113
2020-02-23,34.86648,35.894592
2020-02-24,30.067616,35.667873
2020-02-25,34.034565,34.816025
2020-02-26,35.971165,30.715488
2020-02-27,36.94149,33.70267
2020-02-28,33.784897,35.90971
2020-02-29,30.000322,36.474922
2020-03-01,25.374094,36.2427
2020-03-02,24.09983,31.006863
2020-03-03,24.26967,27.480639
2020-03-04,22.654732,25.516726
2020-03-05,20.749348,24.022715
2020-03-06,20.099497,23.781157
2020-03-07,18.893875,23.62491
2020-03-08,20.976265,20.43486
2020-03-09,23.663282,18.480022
2020-03-10,22.184748,22.438524
2020-03-11,25.493431,23.795053
2020-03-12,32.724674,24.1816
2020-03-13,36.541283,24.289131
2020-03-14,37.9196,27.91223
2020-03-15,38.73008,35.533882
2020-03-16,37.70039,37.22143
2020-03-17,32.897705,36.72297
2020-03-18,29.846727,35.71205
2020-03-19,27.247858,33.974922
2020-03-20,30.26641,32.542797
2020-03-21,36.935207,30.967417
2020-03-22,33.623714,31.555515
2020-03-23,30.091078,35.562122
2020-03-24,27.265757,31.135221
2020-03-25,23.839777,30.321354
2020-03-26,23.060884,29.054897
2020-03-27,24.62884,27.511644
