ds,y_true_rnn,y_pred_rnn
2019-12-07,39.091118,40.37315
2019-12-08,41.684986,40.60422
2019-12-09,39.855824,39.51566
2019-12-10,35.73328,38.892136
2019-12-11,33.57795,39.164627
2019-12-12,33.930233,43.096756
2019-12-13,34.255413,41.54744
2019-12-14,34.181477,37.55377
2019-12-15,33.244812,34.53434
2019-12-16,34.676434,35.08207
2019-12-17,35.13737,36.8378
2019-12-18,34.663704,36.597954
2019-12-19,33.11497,34.58675
2019-12-20,33.556805,35.504364
2019-12-21,33.355366,34.67914
2019-12-22,32.888676,33.790703
2019-12-23,34.82175,32.41955
2019-12-24,34.025436,31.642405
2019-12-25,35.873074,33.4745
2019-12-26,37.388245,31.773409
2019-12-27,37.430077,34.87382
2019-12-28,36.516617,36.43516
2019-12-29,37.760914,37.559677
2019-12-30,38.992065,39.041283
2019-12-31,39.251156,39.499393
2020-01-01,38.311485,38.77263
2020-01-02,38.130276,39.488617
2020-01-03,38.72076,40.427406
2020-01-04,40.468163,39.656578
2020-01-05,42.0156,39.51258
2020-01-06,41.723377,38.501686
2020-01-07,39.332577,39.694065
2020-01-08,40.665573,40.14422
2020-01-09,41.39529,41.6643
2020-01-10,40.543835,42.559437
2020-01-11,41.16904,40.77188
2020-01-12,41.57239,39.731613
2020-01-13,43.986965,41.64426
2020-01-14,43.043507,41.354286
2020-01-15,42.761906,40.4597
2020-01-16,44.194965,42.88845
2020-01-17,44.965202,43.846416
2020-01-18,41.587357,44.105484
2020-01-19,43.554806,41.88446
2020-01-20,43.614212,46.392807
2020-01-21,41.710598,45.12393
2020-01-22,40.310158,42.49352
2020-01-23,38.122566,40.43187
2020-01-24,36.360607,43.84214
2020-01-25,35.319656,41.91096
2020-01-26,37.706486,39.46433
2020-01-27,40.148853,38.79148
2020-01-28,38.824574,38.527866
2020-01-29,37.047207,36.303337
2020-01-30,35.979244,36.641254
2020-01-31,37.391937,40.583866
2020-02-01,36.8822,40.33236
2020-02-02,33.858273,38.420277
2020-02-03,40.214977,33.647503
2020-02-04,46.807285,37.48562
2020-02-05,50.56999,38.60668
2020-02-06,50.27596,31.83941
2020-02-07,46.313747,38.577007
2020-02-08,44.26285,45.686623
2020-02-09,43.34804,52.60536
2020-02-10,41.123867,53.312275
2020-02-11,41.270657,48.383698
2020-02-12,41.25214,44.388412
2020-02-13,40.34061,41.272102
2020-02-14,38.116463,40.62671
2020-02-15,36.419044,43.41684
2020-02-16,37.579823,42.627438
2020-02-17,37.405598,43.074135
2020-02-18,37.976364,39.40979
2020-02-19,38.454865,37.213715
2020-02-20,39.15286,39.153145
2020-02-21,39.06808,37.904686
2020-02-22,34.86648,37.696728
2020-02-23,30.067616,37.056202
2020-02-24,34.034565,36.124313
2020-02-25,35.971165,35.67099
2020-02-26,36.94149,35.184223
2020-02-27,33.784897,31.183609
2020-02-28,30.000322,33.56239
2020-02-29,25.374094,36.02971
2020-03-01,24.09983,37.106678
2020-03-02,24.26967,36.29045
2020-03-03,22.654732,31.467932
2020-03-04,20.749348,26.443628
2020-03-05,20.099497,25.47647
2020-03-06,18.893875,24.47022
2020-03-07,20.976265,24.173908
2020-03-08,23.663282,23.76349
2020-03-09,22.184748,20.784307
2020-03-10,25.493431,18.397964
2020-03-11,32.724674,21.825323
2020-03-12,36.541283,23.59863
2020-03-13,37.9196,23.686855
2020-03-14,38.73008,23.72202
2020-03-15,37.70039,27.295256
2020-03-16,32.897705,34.764347
2020-03-17,29.846727,36.989964
2020-03-18,27.247858,37.18312
2020-03-19,30.26641,36.956406
2020-03-20,36.935207,34.654182
2020-03-21,33.623714,32.76913
2020-03-22,30.091078,30.98879
2020-03-23,27.265757,31.71707
2020-03-24,23.839777,36.078503
2020-03-25,23.060884,31.854027
2020-03-26,24.62884,30.719582
2020-03-27,23.928936,29.530804
