ds,y_true_rnn,y_pred_rnn
2019-12-07,39.091118,38.439575
2019-12-08,41.684986,38.83184
2019-12-09,39.855824,43.936222
2019-12-10,35.73328,41.479168
2019-12-11,33.57795,37.347256
2019-12-12,33.930233,34.84126
2019-12-13,34.255413,36.221252
2019-12-14,34.181477,37.520878
2019-12-15,33.244812,36.851475
2019-12-16,34.676434,35.03353
2019-12-17,35.13737,36.940674
2019-12-18,34.663704,36.051754
2019-12-19,33.11497,35.065933
2019-12-20,33.556805,33.508278
2019-12-21,33.355366,32.404312
2019-12-22,32.888676,34.54283
2019-12-23,34.82175,32.949554
2019-12-24,34.025436,36.90487
2019-12-25,35.873074,37.841866
2019-12-26,37.388245,38.571934
2019-12-27,37.430077,40.342556
2019-12-28,36.516617,40.192772
2019-12-29,37.760914,39.157692
2019-12-30,38.992065,41.034332
2019-12-31,39.251156,41.769913
2020-01-01,38.311485,38.84081
2020-01-02,38.130276,39.390244
2020-01-03,38.72076,38.176186
2020-01-04,40.468163,41.273582
2020-01-05,42.0156,40.835667
2020-01-06,41.723377,41.356453
2020-01-07,39.332577,40.76619
2020-01-08,40.665573,39.06662
2020-01-09,41.39529,38.776855
2020-01-10,40.543835,42.192265
2020-01-11,41.16904,41.81927
2020-01-12,41.57239,41.080734
2020-01-13,43.986965,43.45123
2020-01-14,43.043507,43.48714
2020-01-15,42.761906,44.325172
2020-01-16,44.194965,41.75483
2020-01-17,44.965202,46.832703
2020-01-18,41.587357,45.279995
2020-01-19,43.554806,42.431538
2020-01-20,43.614212,40.660606
2020-01-21,41.710598,45.040047
2020-01-22,40.310158,41.858562
2020-01-23,38.122566,39.764145
2020-01-24,36.360607,39.359947
2020-01-25,35.319656,39.340725
2020-01-26,37.706486,37.348587
2020-01-27,40.148853,37.80965
2020-01-28,38.824574,42.032337
2020-01-29,37.047207,40.62753
2020-01-30,35.979244,38.71977
2020-01-31,37.391937,33.922714
2020-02-01,36.8822,39.0939
2020-02-02,33.858273,39.669357
2020-02-03,40.214977,31.6958
2020-02-04,46.807285,40.303143
2020-02-05,50.56999,46.375835
2020-02-06,50.27596,50.267384
2020-02-07,46.313747,49.549015
2020-02-08,44.26285,46.082607
2020-02-09,43.34804,42.67894
2020-02-10,41.123867,41.674904
2020-02-11,41.270657,40.576508
2020-02-12,41.25214,42.39437
2020-02-13,40.34061,41.523487
2020-02-14,38.116463,42.357994
2020-02-15,36.419044,39.34169
2020-02-16,37.579823,37.259926
2020-02-17,37.405598,39.90228
2020-02-18,37.976364,38.05284
2020-02-19,38.454865,37.522648
2020-02-20,39.15286,36.93173
2020-02-21,39.06808,36.135704
2020-02-22,34.86648,36.742332
2020-02-23,30.067616,35.48167
2020-02-24,34.034565,30.826569
2020-02-25,35.971165,34.085915
2020-02-26,36.94149,35.936836
2020-02-27,33.784897,35.978706
2020-02-28,30.000322,36.530678
2020-02-29,25.374094,29.948906
2020-03-01,24.09983,29.428513
2020-03-02,24.26967,25.49049
2020-03-03,22.654732,26.53248
2020-03-04,20.749348,23.946949
2020-03-05,20.099497,23.688538
2020-03-06,18.893875,22.06778
2020-03-07,20.976265,21.380909
2020-03-08,23.663282,23.345856
2020-03-09,22.184748,25.382912
2020-03-10,25.493431,24.127712
2020-03-11,32.724674,24.33771
2020-03-12,36.541283,28.594233
2020-03-13,37.9196,36.008133
2020-03-14,38.73008,35.00536
2020-03-15,37.70039,36.037693
2020-03-16,32.897705,35.778027
2020-03-17,29.846727,34.0465
2020-03-18,27.247858,32.630013
2020-03-19,30.26641,30.09811
2020-03-20,36.935207,30.499363
2020-03-21,33.623714,35.089962
2020-03-22,30.091078,29.448658
2020-03-23,27.265757,29.606163
2020-03-24,23.839777,29.757065
2020-03-25,23.060884,27.886936
2020-03-26,24.62884,26.448563
2020-03-27,23.928936,25.810246
