ds,y_true_rnn,y_pred_rnn,y_true_r
2019-12-07,39.091118,39.968082,41.564533
2019-12-08,41.684986,41.12966,40.40965
2019-12-09,39.855824,39.004013,38.92104
2019-12-10,35.73328,36.977924,37.67962
2019-12-11,33.57795,37.610554,39.091118
2019-12-12,33.930233,43.337276,41.684986
2019-12-13,34.255413,40.918358,39.855824
2019-12-14,34.181477,37.061157,35.73328
2019-12-15,33.244812,34.64435,33.57795
2019-12-16,34.676434,34.889236,33.930233
2019-12-17,35.13737,35.01262,34.255413
2019-12-18,34.663704,34.668327,34.181477
2019-12-19,33.11497,34.08208,33.244812
2019-12-20,33.556805,34.549202,34.676434
2019-12-21,33.355366,34.655533,35.13737
2019-12-22,32.888676,33.3725,34.663704
2019-12-23,34.82175,32.559963,33.11497
2019-12-24,34.025436,30.83812,33.556805
2019-12-25,35.873074,32.689938,33.355366
2019-12-26,37.388245,30.23646,32.888676
2019-12-27,37.430077,33.22404,34.82175
2019-12-28,36.516617,35.865753,34.025436
2019-12-29,37.760914,36.402287,35.873074
2019-12-30,38.992065,38.65909,37.388245
2019-12-31,39.251156,38.731186,37.430077
2020-01-01,38.311485,38.062603,36.516617
2020-01-02,38.130276,38.82664,37.760914
2020-01-03,38.72076,40.44239,38.992065
2020-01-04,40.468163,39.545025,39.251156
2020-01-05,42.0156,40.210705,38.311485
2020-01-06,41.723377,39.396046,38.130276
2020-01-07,39.332577,40.33547,38.72076
2020-01-08,40.665573,40.49441,40.468163
2020-01-09,41.39529,41.955326,42.0156
2020-01-10,40.543835,42.798332,41.723377
2020-01-11,41.16904,40.699455,39.332577
2020-01-12,41.57239,39.31904,40.665573
2020-01-13,43.986965,40.775337,41.39529
2020-01-14,43.043507,40.815567,40.543835
2020-01-15,42.761906,40.173378,41.16904
2020-01-16,44.194965,41.674797,41.57239
2020-01-17,44.965202,43.482162,43.986965
2020-01-18,41.587357,43.650986,43.043507
2020-01-19,43.554806,41.25308,42.761906
2020-01-20,43.614212,46.865807,44.194965
2020-01-21,41.710598,44.966614,44.965202
2020-01-22,40.310158,41.53798,41.587357
2020-01-23,38.122566,40.37946,43.554806
2020-01-24,36.360607,43.833656,43.614212
2020-01-25,35.319656,40.865337,41.710598
2020-01-26,37.706486,38.7228,40.310158
2020-01-27,40.148853,37.7603,38.122566
2020-01-28,38.824574,36.58626,36.360607
2020-01-29,37.047207,36.100197,35.319656
2020-01-30,35.979244,35.890812,37.706486
2020-01-31,37.391937,40.26406,40.148853
2020-02-01,36.8822,39.6316,38.824574
2020-02-02,33.858273,38.5931,37.047207
2020-02-03,40.214977,32.856293,35.979244
2020-02-04,46.807285,36.696854,37.391937
2020-02-05,50.56999,38.962276,36.8822
2020-02-06,50.27596,30.618582,33.858273
2020-02-07,46.313747,37.265778,40.214977
2020-02-08,44.26285,46.295246,46.807285
2020-02-09,43.34804,50.28638,50.56999
2020-02-10,41.123867,52.256897,50.27596
2020-02-11,41.270657,47.7157,46.313747
2020-02-12,41.25214,43.842308,44.26285
2020-02-13,40.34061,42.416904,43.34804
2020-02-14,38.116463,41.606125,41.123867
2020-02-15,36.419044,43.05827,41.270657
2020-02-16,37.579823,42.13252,41.25214
2020-02-17,37.405598,41.81142,40.34061
2020-02-18,37.976364,39.262833,38.116463
2020-02-19,38.454865,36.747883,36.419044
2020-02-20,39.15286,38.399075,37.579823
2020-02-21,39.06808,37.715233,37.405598
2020-02-22,34.86648,37.474174,37.976364
2020-02-23,30.067616,37.131363,38.454865
2020-02-24,34.034565,35.96492,39.15286
2020-02-25,35.971165,35.98708,39.06808
2020-02-26,36.94149,35.514145,34.86648
2020-02-27,33.784897,30.064617,30.067616
2020-02-28,30.000322,33.890736,34.034565
2020-02-29,25.374094,35.791714,35.971165
2020-03-01,24.09983,35.99953,36.94149
2020-03-02,24.26967,36.123257,33.784897
2020-03-03,22.654732,30.114645,30.000322
2020-03-04,20.749348,27.439775,25.374094
2020-03-05,20.099497,24.877031,24.09983
2020-03-06,18.893875,24.647795,24.26967
2020-03-07,20.976265,23.466438,22.654732
2020-03-08,23.663282,22.329113,20.749348
2020-03-09,22.184748,21.644773,20.099497
2020-03-10,25.493431,20.723116,18.893875
2020-03-11,32.724674,19.768852,20.976265
2020-03-12,36.541283,24.149784,23.663282
2020-03-13,37.9196,23.165138,22.184748
2020-03-14,38.73008,23.173754,25.493431
2020-03-15,37.70039,28.553022,32.724674
2020-03-16,32.897705,35.77922,36.541283
2020-03-17,29.846727,38.03217,37.9196
2020-03-18,27.247858,36.61757,38.73008
2020-03-19,30.26641,36.253586,37.70039
2020-03-20,36.935207,35.308964,32.897705
2020-03-21,33.623714,34.327477,29.846727
2020-03-22,30.091078,31.848946,27.247858
2020-03-23,27.265757,31.799952,30.26641
2020-03-24,23.839777,35.888554,36.935207
2020-03-25,23.060884,31.55181,33.623714
2020-03-26,24.62884,30.5147,30.091078
2020-03-27,23.928936,30.05349,27.265757
